buken_id,物件名,仮称,住所,分類,住戸数,事業主,管理会社,竣工年,竣工月,共用部1,共用部2,専有部1,専有部2,専有部3,専有部opt1,専有部opt2,専有部opt3,ハンドル,ハンドルカラー,シリンダー区分,錠ケース,装置加算額有無,シリンダーカラー,扉厚,ピッチ,備芯,官民仕様,ロック数,キーチェンジ,塩害地加算
4042,ＣｏｔｏＧｌａｎｃｅ鴨川別邸,,京都府京都市上京区出町通枡形上る青龍町２４３,賃貸,24,株式会社エムズ・ウエスト,,2018年,8月,Tebra pass A,,Tebra cell A,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,K22N18,官民無し,2,,
4044,アージョ早稲田,早稲田町計画, 東京都新宿区早稲田町83-1  ,分譲,42,ダイナセル,伊藤忠アーバンコミュニティ,2018年,11月,Tebra pass A,,Tebra cell A,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,上部官民,2,,
4046,アルファステイツ佐世保北Ⅱ,,"長崎県佐世保市三浦町56-4,56-10,56-12,56-16,56-17,68-1,69の一部,98",分譲,66,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2018年,5月,なし,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,官民無し,2,,
4047,グラン・レ・ジェイド岡本,東灘区岡本プロジェクト,兵庫県神戸市東灘区岡本１－５１－４,,18,株式会社日本エスコン,三菱地所コミュニティー株式会社,2018年,8月,F-ics,,,,,,,,PP300,塗装シルバー SL,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4048,グランドメゾン阿倍野昭和町,,大阪府大阪市阿倍野区昭和町５丁目１０番７,分譲,21,積水ハウス株式会社,積和管理関西株式会社 ,2018年,8月,Tebra pass A,,なし,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,上部官民,2,,
4049,クレヴィア神戸ポートアイランド,,兵庫県神戸市中央区港島中町８丁目６番地５,分譲,166,伊藤忠都市開発株式会社・株式会社長谷工コーポレーション,伊藤忠アーバンコミュニティ株式会社,2018年,8月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,1,
4050,コルティーラ浜田山,コルティーラ浜田山改修工事,東京都杉並 浜田山4-30-10,改修,28,仲矢防災設備株式会社,,2018年,8月,なし,,なし,,,,,,,,F22,RP,有り,SL,35,未選択,,官民無し,1,,
4052,ザ・サンメゾン文京小石川,文京区小石川４丁目計画,東京都文京区小石川４丁目２０−２,分譲,24,サンヨーホームズ株式会社,サンヨーホームズコミュニティ株式会社 ,2018年,8月,Tebra pass A,,なし,,,,,,PP200,塗装シルバー SL,F22,CD,有り,SH,40,未選択,K22N18,官民無し,2,,
4053,サンパーク千早グラッセ,サンパーク千早１丁目,福岡県福岡市東区千早１丁目２７５２‐４０５,分譲,40,大英産業株式会社,株式会社リビングサポート,2018年,9月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,36,未選択,,官民無し,2,,
4054,シャンボール上北沢,シャンボール上北沢玄関扉改修工事,東京都世田谷区上北沢4丁目19-12,改修,79,,,2018年,6月,なし,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,官民無し,2,,
4055,セプタス東麻布,東麻布１丁目共同住宅,東京都港区東麻布1-23-1 ,賃貸,12,第一リアルター株式会社,,2018年,8月,なし,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,K22N18,官民無し,2,,
4056,デュオヒルズ彦根,,滋賀県彦根市安清東町１−４,分譲,66,株式会社フージャースコーポレーション,株式会社フージャースリビングサービス,2018年,8月,Tebra pass A,,Tebra cell A,Tebra cell H,,1,1,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4057,ブランズ天王寺国分町,大阪市天王寺区国分町計画,大阪府大阪市天王寺区国分町７３番２,分譲,104,東急不動産株式会社,株式会社東急コミュニティー,2018年,8月,Tebra pass A,,Tebra cell A,Tebra cell H,,1,1,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4059,プレシス池上アベニュー,プレシス池上四丁目,東京都大田区池上４丁目３,分譲,28,一建設株式会社,伏見管理サービス株式会社,2018年,8月,Tebra pass A,,Tebra A,,,,,,PP350,塗装シルバー SL,F22,CD,有り,SH,36,未選択,,官民無し,2,,
4060,プレシス本駒込,,東京都文京区本駒込１丁目１−２４,分譲,35,一建設株式会社,,2018年,8月,Tebra pass A,,Tebra cell A,Tebra A,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4061,ザ・ライオンズ豊中中桜塚,,大阪府豊中市中桜塚１丁目２３−２８,リプレイス,77,管理組合,,2018年,8月,Tebra pass A,,Tebra cell A,Tebra cell H,,1,1,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4062,ラフィスタ蕨中央ＶＥＲＸＥＥＤ,蕨市中央３丁目マンション,埼玉県蕨市中央3丁目6-3,分譲,64,株式会社日本ワークス,STAR合人社,2018年,9月,なし,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4063,レジュールアッシュ塚本Ⅱ,,大阪府西淀川区野里１－８１３,分譲,66,株式会社ホームズ,,2018年,8月,なし,,なし,,,,,,PP300,塗装シルバー SL,T20,CD,有り,SH,40,未選択,,官民無し,2,,
4064,ローレルコート勝川駅前,春日井市松新町5丁目計画,愛知県春日井市松新町５－８－７,分譲,58,近鉄不動産株式会社,近鉄住宅管理株式会社,2018年,8月,Tebra pass A,,なし,,,,,,,,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4065,ワコーレＫＯＢＥ摩耶ザ・リミテッド,ワコーレ灘区灘南通り,兵庫県神戸市灘区灘南通１丁目３６番１,分譲,25,株式会社大木工務店・和田興産株式会社,株式会社日本ネットワークサービス,2018年,8月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上部官民,2,,
4066,神奈川本町ダイヤモンドマンション,,神奈川県横浜市神奈川区神奈川本町5-4,改修,33,,,2013年,8月,なし,,なし,,,,,,PJ400,塗装シルバー SL,T20,PJ,有り,SL,36,未選択,,官民無し,2,,
4068,ディアレイシャス池尻大橋,池尻４丁目マンション,東京都世田谷区池尻4-26-10,賃貸,30,株式会社レイシャス,株式会社レイシャス合人社,2018年,8月,Tebra pass F,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4069,W.O.B京橋　２Ｆ～８Ｆ,城東区蒲生マンション,大阪府大阪市城東区蒲生２丁目１０番,賃貸,171,株式会社ピカソ,,2018年,9月,Tebra pass F,,なし,,,,,,PJ400,塗装ブラック BK,T20,PJ,有り,BK,40,未選択,K22N18,官民無し,2,,
4071,アルファライフ野芥,,福岡県福岡市早良区賀茂２丁目１４７－３,,63,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2018年,9月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,K22N18,官民無し,2,,
