buken_id,物件名,仮称,住所,分類,住戸数,事業主,管理会社,竣工年,竣工月,共用部1,共用部2,専有部1,専有部2,専有部3,専有部opt1,専有部opt2,専有部opt3,ハンドル,ハンドルカラー,シリンダー区分,錠ケース,装置加算額有無,シリンダーカラー,扉厚,ピッチ,備芯,官民仕様,ロック数,キーチェンジ,塩害地加算
7726,サンリーノ北浦和グラン,改修テブラX【太陽生命北浦和寮　改修】,埼玉県さいたま市浦和区北浦和5丁目16-22,分譲,13,サンヨーホームズ株式会社,サンヨーホームズコミュニティ株式会社,2026年,3月,Tebra pass A,,Tebra X2,,,,,,LC40,ステンレスヘアライン SH,F22,CD,有り,SH,40,未選択,,官民無し,1,,
7714,クレヴィア両国レジデンス,両国緑１丁目計画　,東京都墨田区緑１丁目７（以下未定）,分譲,26,伊藤忠都市開発株式会社,,2026年,7月,Tebra pass F,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,上部官民,2,,
7711,アルファステイツ名取大手町,,宮城県名取市大手町４－１１,分譲,69, 穴吹興産株式会社,,2026年,9月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7710,セリュークス横濱阪東橋,阪東橋プロジェクト,神奈川県横浜市南区白妙町３丁目３９番,賃貸,30,株式会社ニッテイライフ,,2026年,2月,なし,,なし,,,,,,LC40,ステンレスヘアライン SH,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7709,藤和芦屋川ホームズ,,兵庫県芦屋市月若７－１７,改修,23,管理組合,,2026年,3月,Tebra one A,,Tebra cell connect ライト,,,,,,PJ410,塗装ブラック BK,F22,PJ,有り,BK,36,未選択,,官民無し,2,,
7708,アルファスマート松前公園,アルファスマート松前公園　新築工事,愛媛県伊予郡松前町大字筒井字上又984番、955番5,分譲,62,穴吹興産株式会社,,2026年,4月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,標準,,官民無し,2,,
7704,サンクレイドル岸和田春木,,大阪府岸和田市春木若松町３３３番２,分譲,69,株式会社アーネストワン,,2026年,4月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7700,ルネサンスコート入谷Ⅵ,ルネサンスコート入谷Ⅵ,東京都台東区千束２－２３,賃貸,98,株式会社新日本建物,,2026年,6月,Tebra pass F,,,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7699,Brillia 二番町,麹町山王マンション建替え計画,東京都千代田区二番町１１－１０,分譲,104,東京建物,,2026年,6月,Tebra pass A,,Tebra A,,,,,,他社,,F22,CD,有り,BK,40,未選択,,上部官民,2,,
7698,ブランズ巣鴨三丁目,豊島区巣鴨三丁目計画,東京都豊島区巣鴨三丁目４番,分譲,29,東急不動産株式会社,,2026年,7月,Tebra pass A,,Tebra cell connect ライト,,,,,,PNA331,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7697,グランカーサ住吉Ⅱ,エルシード住吉Ⅳ,東京都江東区千田６（以下未定）,分譲,45,株式会社ＴＨＥグローバル社,,2026年,3月,Tebra one F,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7696,錦糸町レジ,墨田区錦糸１丁目計画,東京都墨田区錦糸１－１３－７,賃貸,26,株式会社フージャースアセットマネジメント,,2026年,3月,Tebra pass A,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7695,ＦＬレジデンス神楽府邸＿,新宿区西五軒町計画,東京都新宿区西五軒町８－１５,賃貸,14,アグレ都市デザイン株式会社,,2024年,3月,Tebra pass A,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,K22N18,官民無し,2,,
7694,アーガス・レーヴ健軍,,熊本県熊本市東区若葉２丁目１３－１４５－１,分譲,39,,,2016年,11月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,K22N18,官民無し,2,,
7693,ＡＲＫＭＡＲＫ高円寺,高円寺北2丁目計画,東京都杉並区高円寺北２－１４,賃貸,35,アセットリード,,2023年,10月,Tebra pass A,,,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,標準,,官民無し,2,,
7692,プレディア神戸舞子レジデンス,神戸市垂水区舞子台１丁目計画,兵庫県神戸市垂水区舞子台一丁目19番1（地番）,分譲,350,ＪＲ西日本プロパティーズ株式会社　　,JR西日本住宅サービス株式会社,2026年,6月,Tebra pass A,,Tebra cell A,,,1,,,PP360,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上部官民,2,,
7690,トラストレジデンス城内橋,トラスト唐津　新築工事,佐賀県唐津市千代田町2109番53、2109番130,分譲,69,トラスト不動産開発株式会社,株式会社ビジネス・ワンファシリティーズ,2026年,5月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,36,未選択,K20N16,官民無し,2,,
7689,ワコーレヴィータシエル,神戸市中央区生田町二丁目計画,兵庫県神戸市中央区生田町２丁目１－３　　,分譲,27,和田興産株式会社,,2024年,6月,Tebra one A,,Tebra cell A,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7688,サンパーク新大江グラッセ,サンパーク新大江グラッセ　新築工事,熊本県熊本市中央区新大江一丁目25番5,分譲,52,大英産業株式会社,大英リビングサポート株式会社,2026年,5月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,36,未選択,K20N16,官民無し,2,,
7687,アルファステイツ庚午中,,広島県広島市西区庚午中1丁目77-1,分譲,48,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2026年,5月,Tebra pass A,,Tebra cell A,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7685,ブランシエラ武蔵中原,川崎市中原区下小田中６丁目計画,神奈川県川崎市中原区下小田中六丁目４番以下未定,分譲,62,株式会社長谷工不動産,,2026年,6月,Tebra pass A,,Tebra cell A,,,1,,,PP390,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,上部官民,2,,
7684,ベアーズコート北谷上勢頭ヒルズ,ベアーズコート北谷上勢頭Ⅱ新築工事,沖縄県中頭郡北谷町上勢頭７１３番１　,分譲,39,株式会社 住太郎ホーム,ハウズイング合人社沖縄株式会社,2026年,4月,Tebra pass A,,Tebra cell connect ライト,,,1,,,PJ410,,F22,PJ,有り,BK,36,未選択,,官民無し,2,,1
7683,ブリリア三鷹禅林寺通り,下連雀三丁目ＰＪ,東京都三鷹市下連雀３丁目４１,分譲,24,東京建物株式会社,,2026年,7月,Tebra pass A,,Tebra cell A,,,1,,,PP360,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上部官民,2,,
7682,ミルボン社員寮,ミルボン社員寮,神奈川県小田原市栄町一丁目６５１番の一部,,68,株式会社ミルボン,,2026年,3月,Tebra pass A,,Tebra X,,,,,,LC40,塗装ブラック BK,RT,CD,有り,BK,40,未選択,,官民無し,1,,
7681,プレサンス東淀川駅前プローシェ(１５Ｆ）,大阪市東淀川区西淡路計画,大阪府東淀川区西淡路１丁目１２－１,賃貸,247,株式会社日本エスコン,,2026年,2月,なし,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,K21N19,官民無し,2,,
7680,プレサンス東淀川駅前プローシェ(２～１４Ｆ）,大阪市東淀川区西淡路計画,大阪府東淀川区西淡路１丁目１２－１,賃貸,247,株式会社日本エスコン,,2026年,2月,なし,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,K21N19,官民無し,1,,
7679,ボヌール小岩,南小岩七丁目土地区画整理事業立体換地建築物,東京都江戸川区南小岩七丁目３１番,賃貸,21,江戸川区,,2026年,2月,Tebra pass F,,なし,,,,,,PJ400,塗装ブラック BK,T20,PJ,有り,BK,40,未選択,K22N18,上部官民,2,,
7678,ワコーレデュプレックス神戸,,兵庫県神戸市兵庫区新開地4丁目3-7,改修,83,和田興産株式会社,,2020年,,Tebra one A,,なし,,,,,,,,,,有り,,,未選択,,官民無し,2,,
7677,ポレスター唐津ザ・リミテッド,ポレスター唐津駅前弐番館　新築工事,佐賀県唐津市新興町26（地番）,分譲,42,株式会社マリモ,株式会社GMアソシエ,2026年,5月,なし,,Tebra cell A,Tebra FACE plug,,1,,,PP360,塗装シルバー SL,F22,CD,有り,SL,40,未選択,K22N18,官民無し,2,,
7676,クレイシアＩＤＺ王子フォレストヒルズ,クレイシア王子Ⅴ,東京都北区豊島１丁目３７－９,賃貸,25,プロパティエージェント株式会社,,2026年,2月,なし,,なし,,,,,,PP300,塗装シルバー SL,T20,CD,有り,SH,40,未選択,K22N18,官民無し,1,,
7674,ユニハイムエクシア金沢梅ノ橋,ユニハイム金沢梅ノ橋計画　新築工事,石川県金沢市並木町233番（地番）,分譲,31,ヤマイチエステート株式会社,株式会社合人社計画研究所及びニューライフサービス株式会社による共同管理,2026年,3月,Tebra pass A,,Tebra cell A,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,ロング,,官民無し,2,,
7673,ウィルローズ森下,,東京都江東区森下１－８－４,分譲,35,株式会社ＴＨＥグローバル社,,2026年,5月,Tebra pass A,,Tebra cell connect ライト,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7672,イトーピア田辺,,大阪府大阪市東住吉区田辺6丁目4-5 ,改修,33,,,2026年,3月,なし,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,36,未選択,,官民無し,2,,
7670,GRANSITE　月島　TOKYOBAY,月島４丁目ＰＪ,東京都中央区月島４－５－１２,賃貸,34,株式会社プロパスト,,2026年,4月,なし,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7669,ザ・パークハビオ谷町六丁目テラス,大阪市中央区谷町七丁目マンション,大阪府大阪市中央区谷町七丁目7番6（地番）,賃貸,120,三菱地所レジデンス株式会社,,2026年,2月,Tebra pass F,,Tebra A,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7667,レジュールアッシュOSAKAGATEWAY,レジュールアッシュ竹島新築工事　,大阪市西淀川区竹島三丁目５０番,分譲,120,株式会社ホームズ,,2026年,3月,Tebra pass A,,なし,,,,,,PP380,塗装ブラック BK,T20,CD,有り,BK,40,未選択,,官民無し,2,,
7666,レガリス中野鷺宮,ヴァローレ下井草,東京都中野区鷺宮６－４－１５,分譲,79,株式会社エイシンコーポレーション,,2026年,2月,Tebra pass A,,なし,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7665,レジュールアッシュ緑橋駅前,レジュールアッシュ東成区中本,大阪府大阪市東成区東中本２－８,分譲,80,株式会社ホームズ,,2025年,12月,Tebra pass A,,なし,,,,,,PP350,塗装シルバー SL,T20,CD,有り,SH,40,未選択,,官民無し,2,,
7664,シーズンフラッツ滝野川,北区滝野川３丁目共同住宅,東京都北区滝野川３丁目４番（以下未定）,賃貸,28,株式会社セゾンリアルティ,,2026年,3月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7662,ブライズ尾久,尾久駅前計画,東京都北区昭和町２丁目１番２５号　,賃貸,30,株式会社日本ワークス,,2019年,9月,Tebra pass A,,なし,,,,,,,,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7661,ワコーレ明石大久保ノースブライト,ワコーレ明石大久保町大窪Ⅱ新築工事,兵庫県明石市大久保町大窪字大畑５３３番１ ,分譲,42,和田興産㈱,グローバルコミュニティ株式会社,2026年,5月,Tebra pass A,,Tebra cell A,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,標準,,官民無し,2,,
7660,ＲＪＲプレシア蒲田,ＲＪＲ西蒲田,東京都大田区西蒲田４丁目６番２,賃貸,130,九州旅客鉄道株式会社,,2026年,3月,Tebra pass F,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7659,ハーモニーレジデンス池袋メトロゲート,ハーモニーレジデンス池袋＃４,東京都豊島区池袋本町２丁目８,賃貸,44,株式会社シノケンハーモニー,,2018年,11月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7658,アルファステイツ四日市芝田,,三重県四日市市芝田一丁目38-1,分譲,72,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2026年,5月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SL,40,未選択,,官民無し,2,,
7657,アルファステイツ笹沖,,岡山県倉敷市笹沖字八反地680-9、681-1、687、688,分譲,63,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2026年,5月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7656,ＮＡＫＡＨＡＲＡ２１,,大阪府大阪市西区南堀江２－１０－６,改修,25,株式会社インパクト,,,,Tebra pass A,connect,なし,,,,,,,,,,有り,,,未選択,,官民無し,2,,
7650,サンクレイドル⼩田急相模原,サンクレイドル⼩田急相模原,神奈川県座間市相模が丘５－４１,分譲,42,アーネストワン,,2026年,5月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7647,サンパーク新南陽グラッセ,,山口県周南市古川町1-13,,27,,,2017年,6月,Tebra pass F,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,36,未選択,,官民無し,2,,
7646,クリア高田,焼津　高田マンション,静岡県焼津市焼津３丁目８－４１,,,株式会社ウィズコーポレーション,,2013年,11月,なし,,なし,,,,,,PV100,塗装ゴールド GL,F22,PV,有り,GL,40,未選択,,官民無し,2,,
7645,レーベン東戸塚,,神奈川県横浜市戸塚区品濃町５４１,分譲,45,タカラレーベン株式会社,,2026年,6月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7643,ザプレステージ芦屋山手町,芦屋山手町プロジェクト,兵庫県芦屋市山手２－３４,賃貸,7,,住商レジデンシャル　,2025年,7月,connect,,Tebra A2 connect,,,,,,他社,,F22,CD,有り,SH,,未選択,,官民無し,2,,
7642,トラスト白木原レジデンス,トラスト白木原レジデンス　新築工事,福岡県大野城市白木原五丁目2番1[地番],分譲,28,トラスト不動産開発株式会社,株式会社ビジネス･ワンファシリティーズ,2026年,5月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7641,セゾン姥堂,,愛知県名古屋市熱田区伝馬2丁目5-19,改修,10,,,2015年,7月,Tebra one F,,なし,,,,,,,,,,有り,,,未選択,,官民無し,1,,
7640,コンフォルシア南大塚,南大塚マンション,埼玉県川越市南台二丁目１１番９,分譲,41,株式会社サジェスト,,2026年,2月,Tebra one A,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,K22N18,官民無し,2,,
7639,リビオ上野池之端,台東区池之端３丁目,東京都台東区池之端３丁目３－２１,分譲,94,日鉄興和不動産株式会社,,2026年,5月,Tebra pass A,,なし,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,上下官民,2,,
7635,スプランディッド品川　ＤＵＥ,品川区二葉３丁目計画,東京都品川区二葉三丁目３０－３,賃貸,6,信和不動産株式会社,,2026年,2月,Tebra pass A,,なし,,,,,,他社,ー,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7634,アルファステイツ御宝町,,愛媛県松山市御宝町１１６−１,改修,56,,,2022年,12月,Tebra pass A,,なし,,,,,,,,,,有り,,,未選択,,官民無し,2,,
7633,ザ・グランドグレイス大阪西九条,此花区西九条５丁目計画,大阪府大阪市此花区西九条５丁目３１－１,分譲,204,タカラレーベン株式会社,,2026年,4月,Tebra pass A,,Tebra cell connect ライト,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7632,カサーレ上新庄ブライトマークス,大阪市東淀川区豊新５丁目,大阪府大阪市東淀川区豊新5丁目64番2,分譲,72,アートプランニング株式会社,株式会社長谷工コミュニティ,2026年,8月,Tebra pass A,,Tebra cell A,,,1,,,PP350,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7631,イノバス大濠公園,オープンレジデンシア荒戸３丁目　新築工事　　,福岡県福岡市中央区荒戸三丁目253番(地番),分譲,25,株式会社オープンハウス・ディベロップメント,株式会社オープンハウス合人社コミュニティ,2026年,5月,Tebra pass A,,なし,,,,,,PNA331,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,上下官民,2,,
7630,グラディス稲荷町リバークロス（10F～15F）,,広島県広島市南区稲荷町2-18（地番）,,36,株式会社マリモ,株式会社GMアソシエ,2026年,9月,なし,,Tebra FACE plug,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,K22N18,官民無し,2,,
7629,グラディス稲荷町リバークロス（2F～9F）,,広島県広島市南区稲荷町2-18（地番）,分譲,36,株式会社マリモ,株式会社GMアソシエ,2026年,9月,なし,,Tebra cell A,,,1,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,,未選択,K22N18,官民無し,2,,
7628,プライムブリス新御徒町,台東区小島二丁目共同住宅,東京都台東区小島二丁目７－１４,賃貸,20,プライムエステート株式会社,,2026年,2月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7627,レジデンスザ京都東山大和大路,京都市東山区大和大路,京都府京都市東山区大和大路通正面下る大和大路１丁目５３０番他（地番）,分譲,41,東レ建設株式会社,東洋コミュニティサービス株式会社,2026年,3月,Tebra pass A,,Tebra cell connect ライト,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,官民無し,2,,
7626,ザ・ブライトン浦上,竹の久保マンションプロジェクト,長崎県長崎市竹の久保町１－２９,分譲,31,株式会社谷川建設,,2026年,3月,Tebra pass A,,Tebra cell connect ライト,,,1,,,PJ410,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7625,ワコーレ姫路北条口　フロント,ワコーレ姫路北条口計画　新築工事,兵庫県姫路市北条口２丁目1番１、2番、3番、4番、13番1,分譲,52,和田興産㈱,グローバルコミュニティ株式会社,2026年,5月,Tebra pass A,,なし,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7624,コート甲子園南（１～4番館）,,兵庫県西宮市今津巽町７,改修,573,管理組合,,2026年,6月,Tebra one A,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,36,未選択,,官民無し,2,,
7623,イノバス西新,城西１丁目計画　新築工事,福岡県福岡市早良区城西1丁目40番1、40番2(地番),分譲,29,オープンハウス・ディベロップメント,株式会社オープンハウス合人社コミュニティ,2026年,5月,Tebra pass A,,Tebra cell A,,,,,,PNA331,塗装ブラック BK,F22,CD,有り,BK,40,標準,,上下官民,2,,
7622,リビオメゾン湯島,文京区湯島４丁目,東京都文京区湯島４丁目８－１５,賃貸,36,日鉄興和不動産株式会社,,2026年,1月,Tebra pass A,,なし,,,,,,PNA331,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7618,ファインレジデンス住道駅前,住道駅前ＰＪ,大阪府大東市住道二丁目１３２０番１,,285,京阪電鉄不動産株式会社,京阪カインド株式会社,2026年,7月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,K21N19,官民無し,2,,
7615,ウィークス　シスイ,大橋一丁目計画,福岡県福岡市南区大橋１－２３－１９,賃貸,48,,,2025年,5月,Tebra one A,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,K22N18,官民無し,2,,
7614,ジオタワー大阪十三（２７～３８Ｆ）,大阪市淀川区十三東計画　東敷地,大阪府大阪市淀川区十三東１丁目２１－３,分譲,712,阪急阪神不動産株式会社,株式会社阪急阪神ハウジングサポート,2026年,4月,connect,Tebra pass A+FACE,Tebra cell connect ライト,,,,,,,,F22,CD,有り,BK,40,未選択,K21N19,官民無し,2,1,
7613,ザ・ライオンズ横川　19F,ザ・ライオンズ横川駅前,広島県広島市西区横川新町１番８(地番),分譲,62,株式会社　大京,株式会社大京アステージ,2026年,4月,Tebra pass A,,Tebra A2 connect,,,,,,,,F22,FR,有り,BK,50,未選択,K20N30,官民無し,2,,
7612,ザ・ライオンズ横川　2F～18F,ザ・ライオンズ横川駅前,広島県広島市西区横川新町１番８(地番),分譲,62,株式会社　大京,株式会社大京アステージ,2026年,4月,Tebra pass A,,Tebra cell A,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7611,南桜塚ハイツ,,大阪府豊中市南桜塚１丁目２－１,改修,188,,,2016年,1月,なし,,なし,,,,,,PJ400,塗装シルバー SL,T20,PJ,有り,SL,40,未選択,,官民無し,2,,
7609,ブランシエラ札幌発寒,ブランシエラ発寒５条４丁目計画,札幌市西区発寒５条４丁目３５９－１,分譲,91,株式会社長谷工不動産,,2026年,3月,Tebra pass A,,Tebra cell CP A,,,1,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,上部官民,2,,
7608,プレディア流山運河ステーションフロント,流山市東深井計画,千葉県流山市東深井字宮前２０４番１他,分譲,248,ＪＲ西日本プロパティーズ株式会社,,2026年,6月,Tebra pass A,connect,Tebra cell connect ライト,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7605,ユニハイム小岩,南小岩７丁目プロジェクト,東京都江戸川区南小岩７－１７－２,分譲,45,大和ハウス工業株式会社,,2026年,3月,Tebra pass A,,Tebra cell A,,,,,,PP360,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7604,プレシス立川パークフロント,プレシス立川錦町,東京都立川市錦町３丁目２－３,分譲,45,一建設株式会社,,2026年,2月,Tebra pass A,,Tebra plug CP,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,上部官民,2,,
7603,コンフォリア・リヴ茅場町,中央区新川１丁目プロジェクト　,東京都中央区新川１丁目１番,賃貸,27,株式会社リスジャパン　,,2026年,4月,Tebra pass A,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7602,クレイシアＩＤＺ横浜ＮＯＲＴＨベイフロントヒルズ,クレイシア生麦,神奈川県横浜市鶴見区生麦一丁目４７番（以下未定）,賃貸,74,プロパティエージェント株式会社,,2026年,3月,なし,,なし,,,,,,PP300,塗装ブラック BK,T20,CD,有り,SH,40,未選択,,官民無し,1,,
7600,プラウド横浜東神奈川フロント,東神奈川駅前計画,神奈川県横浜市神奈川区東神奈川１－３－４,分譲,124,野村不動産株式会社,,2026年,7月,Tebra pass A,,Tebra cell connect ライト,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7598,オストガーデン軽井沢,軽井沢長倉計画,長野県北佐久郡軽井沢町大字長倉字後原３０７－４他,分譲,24,株式会社日本エスコン、オスト・ディベロップメント合同会社,,2026年,7月,Tebra pass A,,Tebra A2,,,,,,他社,ー,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7597,アトラスタワー小平小川,⼩川駅⻄⼝第一種市街地再開発,東京都小平市小川西町４丁目地内,分譲,218,旭化成不動産レジデンス株式会社　,,2026年,5月,Tebra pass A,,Tebra cell CP A,,,1,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,ロング,,上部官民,2,,
7596,ドゥーエ尾久　DUE　OGU,尾久ＰＪ,東京都荒川区西尾久７丁目４６－７,賃貸,39,株式会社ＴＨＥグローバル社,,2026年,3月,Tebra one F,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7594,ルネ柏ザ・レジデンス,柏市中央計画,千葉県柏市中央２－７４１－１,分譲,53,総合地所株式会社,,2026年,4月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7592,サンリーノ港北センター北,センター北ＰＪ,神奈川県横浜市都筑区中川中央１丁目３９－２９,分譲,25,サンヨーホームズ株式会社,,2026年,3月,Tebra pass A,connect,Tebra X2,,,,,,LC41,ステンレスヘアライン SH,F22,CD,有り,SH,40,未選択,,官民無し,1,,
7590,コンフォリア・リヴ南砂町ＥＡＳＴ,北砂７－１マンション,東京都江東区北砂７丁目１－１,分譲,143,株式会社カシワバラ・グラウンド,,2026年,3月,Tebra pass A,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,K22N18,官民無し,2,,
7588,スタイリオフィット新丸子,川崎市中原区小杉町１丁目計画,神奈川県川崎市中原区小杉町１丁目５２７－１、－２、－６、－７,賃貸,49,東急リバブル株式会社、フジ都市開発株式会社,,2026年,3月,Tebra pass A,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,官民無し,2,,
7587,シーズンフラッツ今池ＮＯＲＴＨ,千種区松軒２丁目,愛知県名古屋市千種区松軒２丁目８２６番,賃貸,42,,,2026年,1月,Tebra one A,,なし,,,,,,他社,,F22,CD,有り,SL,40,未選択,,官民無し,2,,
7586,藤和奈良ハイタウン,,奈良県奈良市三条町６０６－７６,改修,360,,,2026年,4月,なし,,なし,,,,,,PJ400,塗装シルバー SL,T20,PJ,有り,SL,36,未選択,,官民無し,2,,
7585,クレヴィア浦和,浦和駅前計画,埼玉県さいたま市浦和区東高砂町２０（以下未定）,分譲,25,伊藤忠都市開発株式会社,伊藤忠アーバンコミュニティ株式会社,2026年,4月,Tebra pass A,,Tebra cell A,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,上部官民,2,,
7584,オープンレジデンシア平針,オープンレジデンシア天白区平針一丁目計画,愛知県名古屋市天白区平針一丁目２０１７番  ,分譲,42,オープンハウスディベロップメント　,,2026年,4月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7583,イトーピア桃山台,,大阪府豊中市東泉丘３丁目３－１５,改修,47,,,2026年,1月,なし,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,36,未選択,,官民無し,2,,
7582,コンフォリア・リヴ永福町,ヴァースクレイシア永福町,東京都杉並区大宮１丁目８８５－１,賃貸,41,プロパティエージェント株式会社,,2026年,3月,なし,,なし,,,,,,PP300,塗装シルバー SL,T20,CD,有り,SH,40,未選択,,官民無し,1,,
7580,ルジェンテ上野稲荷町,元浅草二丁目計画,東京都台東区元浅草二丁目１－３,分譲,26,東急リバブル株式会社,,2026年,4月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上下官民,2,,
7578,コンフォルシアＵＲＡＷＡ－ＴＵＪＩ,辻７丁目マンション,埼玉県さいたま市南区辻七丁目７４１番、７４４番２、７４５番,分譲,55,株式会社サジェスト,,2026年,8月,Tebra one A,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,官民無し,2,,
