clavis_id,buken_name_clavis,kari_name,address,buken_path,csv_buken_name,id_in_csv,name_match
2530,ポレスターステーションシティ久喜,,埼玉県久喜市久喜中央2丁目9-30,/support/after/admin/?m=Edit&id=2530,ポレスターステーションシティ久喜,True,True
2824,プレシス田無,,東京都西東京市田無町1-6-15,/support/after/admin/?m=Edit&id=2824,プレシス田無,True,True
3192,ビバリーホームズ上井草,,東京都練馬区下石神井5丁目18-6,/support/after/admin/?m=Edit&id=3192,ビバリーホームズ上井草,True,True
3427,ディアスタ武蔵野　翠の邸,ディアスタ武蔵野Ⅲ,東京都武蔵野市西久保1丁目12-4,/support/after/admin/?m=Edit&id=3427,ディアスタ武蔵野　翠の邸,True,True
3489,クレイシア品川東大井,東大井３丁目,東京都品川区東大井３－１６－９,/support/after/admin/?m=Edit&id=3489,クレイシア品川東大井,True,True
3601,コンシェリア目白ＴＨＥ ＧＲＡＮＤ ＲＥＳＩＤＥＮＣＥ,コンシェリア目白新築工事,東京都新宿区下落合2丁目10-10,/support/after/admin/?m=Edit&id=3601,コンシェリア目白ＴＨＥ ＧＲＡＮＤ ＲＥＳＩＤＥＮＣＥ,True,True
3628,シルフィ鷺宮,マーベラス鷺宮,東京都中野区鷺宮3-41-13,/support/after/admin/?m=Edit&id=3628,シルフィ鷺宮,True,True
3655,ガリシア新宿御苑,新宿一丁目マンション,東京都新宿区新宿1-26,/support/after/admin/?m=Edit&id=3655,ガリシア新宿御苑,True,True
3661,プレシス武蔵境,プレシス武蔵境,東京都武蔵野市境南町一丁目32-6,/support/after/admin/?m=Edit&id=3661,プレシス武蔵境,True,True
3680,プレセダンヒルズ阿佐ヶ谷,阿佐谷北２丁目計画,東京都杉並区阿佐谷北2丁目13-14,/support/after/admin/?m=Edit&id=3680,プレセダンヒルズ阿佐ヶ谷,True,True
3684,リストレジデンス王子,リストレジデンス王子　新築工事,東京都北区豊島１丁目4-8,/support/after/admin/?m=Edit&id=3684,リストレジデンス王子,True,True
3691,アゼスト下落合,上落合１丁目,東京都新宿区上落合1丁目9-10,/support/after/admin/?m=Edit&id=3691,アゼスト下落合,True,True
3782,グローベル ザ・高円寺プレミアム,グローベル高円寺南プロジェクト,東京都杉並区高円寺南4丁目5-7,/support/after/admin/?m=Edit&id=3782,グローベル ザ・高円寺プレミアム,True,True
3852,ローレルコート杉並松庵,杉並区松庵２丁目計画,東京都杉並区松庵2-18-20,/support/after/admin/?m=Edit&id=3852,ローレルコート杉並松庵,True,True
3861,東新宿レジデンシャルタワー,,東京都新宿区歌舞伎町2丁目4-14,/support/after/admin/?m=Edit&id=3861,東新宿レジデンシャルタワー,True,True
3942,ザ・グローベル南大塚,グローベル大塚南プロジェクト,東京都豊島区南大塚3丁目42-1,/support/after/admin/?m=Edit&id=3942,ザ・グローベル南大塚,True,True
3963,レ・ジェイド桜上水ティアラ,,東京都世田谷区桜上水４丁目２０−６,/support/after/admin/?m=Edit&id=3963,レ・ジェイド桜上水ティアラ,True,True
3968,西荻窪スカイハイツ,西荻窪スカイハツ　改修工事,東京都杉並区西荻北３丁目１２−１３,/support/after/admin/?m=Edit&id=3968,西荻窪スカイハイツ,True,True
3973,アニモ新丸子,新丸子東１丁目計画,神奈川県川崎市中原区新丸子東1丁目821-1,/support/after/admin/?m=Edit&id=3973,アニモ新丸子,True,True
4005,ビバリーホームズ石神井台,ビバリーホームズ武蔵関Ⅳ,東京都練馬区石神井台7-18-26,/support/after/admin/?m=Edit&id=4005,ビバリーホームズ石神井台,True,True
4011,リビオ荻窪レジデンス,宇田川家　共同プロジェクト,東京都杉並区南荻窪１丁目７−１８,/support/after/admin/?m=Edit&id=4011,リビオ荻窪レジデンス,True,True
4034,レガリス高円寺,高円寺ＰＪ,東京都中野区大和町1丁目1-25,/support/after/admin/?m=Edit&id=4034,レガリス高円寺,True,True
4050,コルティーラ浜田山,コルティーラ浜田山改修工事,東京都杉並 浜田山4-30-10,/support/after/admin/?m=Edit&id=4050,コルティーラ浜田山,True,True
4091,ルピアコート宮前平,川崎市宮前区宮前平二丁目,神奈川県川崎市宮前区宮前平２丁目５−２３,/support/after/admin/?m=Edit&id=4091,ルピアコート宮前平,True,True
4137,ブリリア東中野ＳｔａｔｉｏｎＦｒｏｎｔ,東中野2丁目計画,東京都東京都中野区東中野2-24-13,/support/after/admin/?m=Edit&id=4137,ブリリア東中野ＳｔａｔｉｏｎＦｒｏｎｔ,True,True
4150,シティインデックス中野,中野プロジェクト,東京都中野区新井一丁目40-2,/support/after/admin/?m=Edit&id=4150,シティインデックス中野,True,True
4154,プレシス中野哲学堂パークフロント,プレシス哲学堂公園,東京都中野区松が丘2丁目31-12（住居表示）,/support/after/admin/?m=Edit&id=4154,プレシス中野哲学堂パークフロント,True,True
4158,ローレルコート石神井公園,練馬区高野台５丁目計画（石神井）,東京都練馬区高野台５丁目２９－３,/support/after/admin/?m=Edit&id=4158,ローレルコート石神井公園,True,True
